number_of_vehicles,number_of_casualties,day_of_week,time,local_authority_district,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,road_surface_conditions,urban_or_rural_area,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_home_area_type,casualty_imd_decile,Year,Month,Day,wind_conditions,weather_conditions_Fine,weather_conditions_Fog or mist,weather_conditions_Other,weather_conditions_Raining,weather_conditions_Snowing,casualty_type_Car driver,casualty_type_Car front seat passenger,casualty_type_Car rear seat passenger,casualty_type_Cyclist,casualty_type_Goods vehicle driver,casualty_type_Goods vehicle passenger,casualty_type_Motorcycle passenger,casualty_type_Motorcycle rider,casualty_type_Other vehicle occupant,casualty_type_Pedestrian,casualty_type_Public transport driver,casualty_type_Public transport passenger
2,1,1,19,2,40,0,0,0,0,0,0,4,0,0,6,2021,8,3,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,5,13,2,30,0,0,0,0,0,0,6,0,0,8,2019,4,27,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,1,4,19,3,30,0,0,1,0,0,1,7,0,1,0,2020,1,24,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,5,23,3,30,0,1,1,1,0,1,5,1,0,8,2019,9,28,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
1,1,0,17,2,70,1,0,2,1,1,0,5,1,0,6,2018,1,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
3,2,5,12,2,30,1,1,0,0,0,1,4,0,0,5,2019,5,18,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,2,5,12,2,30,1,1,0,0,0,1,4,0,0,5,2019,5,18,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,0,14,2,30,1,0,0,0,1,0,3,0,0,1,2021,10,11,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2,1,3,16,2,60,0,0,2,1,1,1,5,0,1,3,2022,11,17,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
2,4,1,13,3,20,0,0,0,0,0,0,6,0,0,0,2019,12,31,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,4,1,13,3,20,0,0,0,0,0,0,6,0,0,0,2019,12,31,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,4,1,13,3,20,0,0,0,0,0,0,6,0,0,0,2019,12,31,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,4,1,13,3,20,0,0,0,0,0,0,6,0,0,0,2019,12,31,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,1,3,12,3,30,0,0,0,0,0,0,8,0,0,5,2021,11,18,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,1,3,15,2,40,1,0,0,0,0,1,8,0,0,1,2022,11,3,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,0,12,1,40,0,1,0,1,0,0,9,0,0,7,2018,12,17,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
